Nombre,Precio,Proveedor,MPN,EAN,Longitud,Ranuras,Conectores de 8 pines,Conectores de 6 pines,HDMI,DisplayPort,DVI,VGA,Relog de Boost,Vram,Reloj de memoria,TDP
PNY GeForce RTX 2080 XLR8 Gaming OC Twin Fan,$792.78 USD,PNY,VCG20808DFPPB-O,751492621746,293 mm,2.0,1,1,1,3,0,0,1710 MHz,8 GB,14000 MHz,225 W
PowerColor Radeon VII,$678.18 USD,PowerColor,AXVII 16GBHBM2-3DH,4713436171461,280 mm,2.0,2,0,1,3,0,0,1750 MHz,16 GB,2000 MHz,300 W
Sapphire Nitro+ Radeon RX 580 4G,$267.84 USD,Sapphire,11265-07-20G,4895106281929,260 mm,2.0,1,1,2,2,1,0,1411 MHz,4 GB,7000 MHz,185 W
Sapphire Nitro+ Radeon RX 580 8G,$233.57 USD,Sapphire,11265-01-20G,4895106281868,260 mm,2.0,1,1,2,2,1,0,1411 MHz,8 GB,8000 MHz,185 W
Sapphire Nitro+ Radeon RX 580 8G Special Edition,$276.96 USD,Sapphire,11265-21-20G,4895106283077,260 mm,2.0,1,1,2,2,1,0,1430 MHz,8 GB,8400 MHz,185 W
Sapphire Nitro+ Radeon RX 590 8G Special Edition,$195.84 USD,Sapphire,11289-01-20G,4895106286276,260 mm,2.0,1,1,2,2,1,0,1560 MHz,8 GB,8400 MHz,175 W
Sapphire Nitro+ Radeon RX Vega 56,$609.74 USD,Sapphire,11276-01-40G,4895106284401,316 mm,3.0,2,0,2,2,0,0,1550 MHz,8 GB,800 MHz,250 W
Sapphire Nitro+ Radeon RX Vega 64,$724.29 USD,Sapphire,11275-03-40G,4895106285057,310 mm,3.0,2,0,1,1,0,0,1580 MHz,8 GB,945 MHz,300 W
Sapphire Pulse Radeon RX 580 4G,$211.21 USD,Sapphire,11265-09-20G,4895106281943,230 mm,2.0,1,0,2,2,1,0,MHz,4 GB,7000 MHz,185 W
Sapphire Pulse Radeon RX 580 8G,$373.56 USD,Sapphire,11265-05-20G,4895106281905,230 mm,2.0,1,0,2,2,1,0,1366 MHz,8 GB,8000 MHz,185 W
Sapphire Radeon VII,$678.22 USD,Sapphire,21291-01-40G,4895106286931,280 mm,2.0,2,0,1,1,0,0,1750 MHz,16 GB,2000 MHz,300 W
XFX Radeon RX 550 Single Fan,$94.99 USD,XFX,RX-550P4SFG5,778656075122,170 mm,2.0,0,0,1,1,1,0,MHz,4 GB,3500 MHz,65 W
XFX Radeon RX 570 RS Core Edition,$122.69 USD,XFX,RX-570P4DFD6,778656074842,243 mm,2.0,1,0,1,3,1,0,MHz,4 GB,3500 MHz,120 W
XFX Radeon RX 580 GTS Black Edition,$246.62 USD,XFX,RX-580P8DBD6,778656074606,270 mm,2.0,1,0,1,3,1,0,1425 MHz,8 GB,8000 MHz,185 W
XFX Radeon RX 580 GTS Core Edition,$166.22 USD,XFX,RX-580P4DFD6,778656074798,270 mm,2.0,1,0,1,3,1,0,1386 MHz,4 GB,3500 MHz,185 W
XFX Radeon RX 580 GTS Core Edition,$198.81 USD,XFX,RX-580P8DFD6,778656074644,270 mm,2.0,1,0,1,3,1,0,1386 MHz,8 GB,4000 MHz,185 W
"ZOTAC GAMING GeForce GTX 1650 OC, 4096 MB GDDR5",$176.76 USD,ZOTAC,ZT-T16500F-10L,4895173618604,151 mm,2.0,0,0,1,1,1,0,1695 MHz,4 GB,8000 MHz,75 W
ZOTAC GAMING GeForce GTX 1660 AMP! Edition,$257.89 USD,ZOTAC,ZT-T16600D-10M,4895173618109,209.6 mm,2.0,1,0,1,3,0,0,1845 MHz,6 GB,8000 MHz,130 W
ZOTAC GAMING GeForce GTX 1660 Ti,$265.48 USD,ZOTAC,ZT-T16610F-10L,4895173618000,145 mm,2.0,1,0,1,1,0,0,1770 MHz,6 GB,12000 MHz,120 W
ZOTAC GAMING GeForce GTX 1660 Ti AMP!,$322.67 USD,ZOTAC,ZT-T16610D-10M,4895173618086,209.6 mm,2.0,1,0,1,1,0,0,1860 MHz,6 GB,12000 MHz,130 W
ZOTAC GAMING GeForce GTX 1660 Twin Fan,$262.22 USD,ZOTAC,ZT-T16600F-10L,4895173618116,173.4 mm,2.0,1,0,1,3,0,0,1785 MHz,6 GB,8000 MHz,120 W
ZOTAC GAMING GeForce RTX 2060 AMP! Edition,$351.8 USD,ZOTAC,ZT-T20600D-10M,4895173617805,209.6 mm,2.0,1,0,1,3,0,0,1800 MHz,6 GB,14000 MHz,170 W
ZOTAC GAMING GeForce RTX 2060 Super AMP! Edition,$509.94 USD,ZOTAC,ZT-T20610D-10P,4895173619014,268 mm,2.0,1,1,1,1,0,0,1680 MHz,8 GB,14000 MHz,175 W
ZOTAC GAMING GeForce RTX 2060 Super AMP! Extreme Edition,$430.87 USD,ZOTAC,ZT-T20610B-10P,4895173619007,268 mm,2.0,1,1,1,1,0,0,1680 MHz,8 GB,14000 MHz,175 W
ZOTAC GAMING GeForce RTX 2060 Super Mini Edition,$391.7 USD,ZOTAC,ZT-T20610E-10M,4895173619021,209.6 mm,2.0,1,0,1,1,0,0,1650 MHz,8 GB,14000 MHz,175 W
ZOTAC GAMING GeForce RTX 2060 Twin Fan,$332.94 USD,ZOTAC,ZT-T20600F-10M,4895173617812,209.6 mm,2.0,1,0,1,3,0,0,1680 MHz,6 GB,14000 MHz,160 W
ZOTAC GAMING GeForce RTX 2070 AMP! Edition,$553.71 USD,ZOTAC,ZT-T20700D-10P,4895173617317,268 mm,2.0,1,1,1,3,0,0,MHz,8 GB,14000 MHz,225 W
ZOTAC GAMING GeForce RTX 2070 Super AMP! Edition,$514.68 USD,ZOTAC,ZT-T20710D-10P,4895173618994,268 mm,2.0,1,1,1,1,0,0,1800 MHz,8 GB,14000 MHz,215 W
ZOTAC GAMING GeForce RTX 2070 Super Edition,$597.67 USD,ZOTAC,ZT-T20710F-10P,4895173618925,268 mm,2.0,1,1,1,1,0,0,1800 MHz,8 GB,14000 MHz,215 W
ZOTAC GAMING GeForce RTX 2070 Super Mini Edition,$511.17 USD,ZOTAC,ZT-T20710E-10M,4895173619861,209.6 mm,2.0,1,1,1,3,0,0,1770 MHz,8 GB,14000 MHz,215 W
ZOTAC GAMING GeForce RTX 2080 AMP! Edition,$914.69 USD,ZOTAC,ZT-T20800D-10P,4895173617041,308 mm,5.0,1,1,1,3,0,0,MHz,8 GB,14000 MHz,225 W
ZOTAC GAMING GeForce RTX 2080 Blower,$970.15 USD,ZOTAC,ZT-T20800A-10P,4895173617027,268 mm,2.0,1,1,1,3,0,0,MHz,8 GB,14000 MHz,225 W
ZOTAC GAMING GeForce RTX 2080 Super AMP,$778.92 USD,ZOTAC,ZT-T20820D-10P,4895173618895,298 mm,2.0,2,0,1,3,0,0,1825 MHz,8 GB,15500 MHz,250 W
ZOTAC GAMING GeForce RTX 2080 Super Twin Fan,$734.17 USD,ZOTAC,ZT-T20820F-10P,4895173618901,268 mm,2.0,1,1,1,3,0,0,1815 MHz,8 GB,15500 MHz,250 W
ZOTAC GAMING GeForce RTX 2080 Ti AMP! Edition,$1198.53 USD,ZOTAC,ZT-T20810D-10P,4895173617058,308 mm,2.5,2,0,1,3,0,0,1665 MHz,11 GB,14000 MHz,285 W
ZOTAC GeForce GTX 1050 Mini,$111.13 USD,ZOTAC,ZT-P10500A-10L,4895173611094,145 mm,2.0,0,0,0,0,0,0,1455 MHz,2 GB,4 MHz,75 W
ZOTAC GeForce GTX 1050 Ti Mini,$164.11 USD,ZOTAC,ZT-P10510A-10L,4895173610998,145 mm,2.0,0,0,0,0,0,0,1417 MHz,4 GB,4 MHz,75 W
ZOTAC GeForce GTX 1050 Ti OC,$207.49 USD,ZOTAC,ZT-P10510B-10L,4895173611087,174 mm,2.0,0,0,0,0,0,0,1506 MHz,4 GB,4 MHz,75 W
ZOTAC GeForce GTX 1070 AMP! Extreme Edition,$488.96 USD,ZOTAC,ZT-P10700B-10P,4895173610028,325 mm,2.5,2,0,0,0,0,0,1835 MHz,8 GB,4 MHz,150 W
ZOTAC GeForce GTX 1080 AMP! Extreme+ 11 Gbps,$641.28 USD,ZOTAC,ZT-P10800I-10P,4895173613135,325 mm,2.5,2,0,1,3,1,0,1911 MHz,8 GB,5600 MHz,180 W
ZOTAC GeForce GTX 1080 Ti AMP! Edition,$670.97 USD,ZOTAC,ZT-P10810D-10P,4895173613098,300 mm,2.5,2,0,0,0,0,0,1683 MHz,11 GB,5 MHz,250 W
