Nombre,Precio,Proveedor,MPN,EAN,Longitud,Ranuras,Conectores de 8 pines,Conectores de 6 pines,HDMI,DisplayPort,DVI,VGA,Relog de Boost,Vram,Reloj de memoria,TDP
Asus CERBERUS GTX 1050TI O4G,$205.64 USD,ASUS,CERBERUS-GTX1050TI-O4G,889349927298,203 mm,2.0,0,0,1,1,1,0,1480 MHz,4 GB,7008 MHz,75 W
Asus DUAL GTX 1060 O3G,$235.01 USD,ASUS,DUAL-GTX1060-O3G,779184783312,242 mm,2.1,0,1,2,2,1,0,1809 MHz,3 GB,8008 MHz,120 W
Asus DUAL GTX 1060 O6G,$268.53 USD,ASUS,DUAL-GTX1060-O6G,889349476086,242 mm,2.1,0,1,2,2,1,0,1809 MHz,6 GB,8008 MHz,120 W
Asus DUAL RX 580 O4G,$236.31 USD,ASUS,DUAL-RX580-O4G,889349731666,242 mm,1.0,1,0,2,2,1,0,1380 MHz,4 GB,7000 MHz,185 W
Asus DUAL RX 580 O8G,$242.26 USD,ASUS,DUAL-RX580-O8G,190198470690,242 mm,1.0,1,0,2,2,1,0,1380 MHz,8 GB,MHz,185 W
ASUS GeForce GTX 1050 Ti PH,$188.59 USD,ASUS,90YV0A70-M0NA00,4712900570175,212 mm,2.0,0,0,0,0,0,0,1392 MHz,4 GB,4 MHz,75 W
ASUS GeForce GTX 1050 Ti STRIX O4G Gaming,$188.59 USD,ASUS,90YV0A30-M0NA00,4712900578126,241 mm,2.0,0,1,0,0,0,0,1493 MHz,4 GB,4 MHz,75 W
ASUS GeForce GTX 1070 Dual O8G,$403.44 USD,ASUS,90YV09T1-M0NA00,4712900478716,240 mm,2.0,1,0,0,0,0,0,1771 MHz,8 GB,4 MHz,150 W
ASUS GeForce GTX 1070 STRIX 8G Gaming,$580.29 USD,ASUS,90YV09N2-M0NA00,4712900455052,298 mm,2.0,1,0,0,0,0,0,1683 MHz,8 GB,4 MHz,150 W
ASUS GeForce GTX 1070 Ti Cerberus A8G,$541.21 USD,ASUS,90YV0BJ1-M0NA00,4712900910179,270 mm,2.5,1,0,0,0,0,0,1683 MHz,8 GB,2 MHz,180 W
ASUS GeForce GTX 1080 STRIX 8G Gaming,$543.48 USD,ASUS,90YV09M1-M0NM00,4712900442250,298 mm,2.0,1,1,0,0,0,0,1733 MHz,8 GB,5 MHz,180 W
"ASUS GeForce GTX 1650 Dual O4G, 4096 MB GDDR5",$203.82 USD,ASUS,90YV0CV2-M0NA00,4718017295734,204 mm,2.0,0,0,1,1,1,0,1755 MHz,4 GB,8000 MHz,75 W
"ASUS GeForce GTX 1650 Phoenix O4G, 4096 MB GDDR5",$187.86 USD,ASUS,90YV0CV0-M0NA00,4718017295772,190 mm,2.0,0,0,1,1,1,0,1710 MHz,4 GB,8000 MHz,75 W
ASUS GeForce GTX 1660 Super Dual O6G Evo,$255.84 USD,ASUS,90YV0DS3-M0NA00,4718017504744,242 mm,2.75,1,0,1,1,1,0,MHz,6 GB,14002 MHz,125 W
ASUS GeForce GTX 1660 Super Phoenix,$285.78 USD,ASUS,90YV0DT0-M0NA00,4718017505291,174 mm,2.0,1,0,1,1,1,0,MHz,6 GB,14002 MHz,125 W
ASUS GeForce GTX 1660 Super TUF O6G Gaming,$289.41 USD,ASUS,90YV0DT2-MTNA00,4718017551618,206 mm,2.5,1,0,1,1,1,0,1815 MHz,6 GB,14002 MHz,125 W
