Nombre,Precio,Proveedor,MPN,EAN,Tipo de RAM,Tamaño,Reloj,Tiempos,Sticks
Corsair Dominator Platinum RGB,$282.16 USD,Corsair,CMT64GX5M2B6000C40,840006601203,DDR5-6000,64 GB,6000,40-40-40-77,2
Corsair Dominator Platinum RGB,$359.05 USD,Corsair,CMT64GX5M4B6200C32,840006665489,DDR5-6200,64 GB,6200,32-38-38-80,4
Corsair Dominator Platinum RGB,$366.31 USD,Corsair,CMT64GX5M4B6600C32,840006665502,DDR5-6600,64 GB,6600,32-39-39-76,4
Corsair Dominator Platinum RGB,$379.61 USD,Corsair,CMT64GX5M4B6400C32,840006665496,DDR5-6400,64 GB,6400,32-40-40-84,4
Corsair Dominator Platinum RGB Series,$137.81 USD,Corsair,CMT16GX4M2C3000C15,840006607281,DDR4-3000,16 GB,3000,15-17-17-35,2
Corsair Dominator Platinum RGB Series,$188.59 USD,Corsair,CMT32GX4M2C3000C15,840006607335,DDR4-3000,32 GB,3000,15-17-17-35,2
Corsair Dominator Platinum RGB Series,$203.05 USD,Corsair,CMT32GX4M4C3200C16,840006607397,DDR4-3200,32 GB,3200,16-18-18-36,4
Corsair Dominator Platinum RGB Series,$239.48 USD,Corsair,CMT32GX4M4C3000C15,840006607373,DDR4-3000,32 GB,3000,15-17-17-35,4
Corsair Dominator Platinum RGB Series,$245.83 USD,Corsair,CMT32GX4M4C3600C18,840006607403,DDR4-3600,32 GB,3600,18-19-19-39,4
Corsair Dominator Platinum RGB Series,$373.56 USD,Corsair,CMT64GX4M4C3000C15,840006607427,DDR4-3000,64 GB,3000,15-17-17-35,4
Corsair Dominator Platinum RGB Series,$464.23 USD,Corsair,CMT64GX4M8C3200C16,840006607472,DDR4-3200,64 GB,3200,16-18-18-36,8
Corsair Dominator Platinum RGB Series,$479.73 USD,Corsair,CMT16GX4M2K4266C19,840006609520,DDR4-4266,16 GB,4266,19-26-26-46,2
Corsair Dominator Platinum RGB Series,$602.05 USD,Corsair,CMT64GX4M4K3600C18,840006607458,DDR4-3600,64 GB,3600,18-19-19-39,4
Corsair Dominator Platinum RGB Series,$673.11 USD,Corsair,CMT64GX4M8X3600C18,840006608608,DDR4-3600,64 GB,3600,18-19-19-39,8
Corsair Dominator Platinum RGB Series,$1156.97 USD,Corsair,CMT128GX4M8X3600C18,840006607274,DDR4-3600,128 GB,3600,18-19-19-39,8
Corsair Dominator Platinum ROG Edition 32GB,$173.47 USD,Corsair,CMD32GX4M4C3200C16-ROG,843591094573,DDR4-3200,32 GB,3200,16-18-18-36,4
Corsair Dominator Platinum Series 128GB,$880.25 USD,Corsair,CMD128GX4M8B3200C16,843591097895,DDR4-3200,128 GB,3200,16-18-18-36,8
Corsair Dominator Platinum Series 16GB,$108.8 USD,Corsair,CMD16GX4M4B3200C16,4054318733675,DDR4-3200,16 GB,3200,16-18-18-36,4
Corsair Dominator Platinum Series 16GB,$216.15 USD,Corsair,CMD16GX4M2B2400C10,843591084802,DDR4-2400,16 GB,2400,10-12-12-28,2
Corsair Dominator Platinum Series 16GB,$233.1 USD,Corsair,CMD16GX4M4B3200C16R,843591068185,DDR4-3200,16 GB,3200,16-18-18-36,4
Corsair Dominator Platinum Series 16GB,$264.6 USD,Corsair,CMD16GX4M2E4000C19,843591024136,DDR4-4000,16 GB,4000,19-23-23-45,2
Corsair Dominator Platinum Series 16GB,$269.2 USD,Corsair,CMD16GX4M2B3733C17,843591097628,DDR4-3733,16 GB,3733,17-19-19-39,2
Corsair Dominator Platinum Series 16GB,$275.45 USD,Corsair,CMD16GX4M2B3866C18,843591097673,DDR4-3866,16 GB,3866,18-22-22-40,2
Corsair Dominator Platinum Series 32GB,$151.1 USD,Corsair,CMD32GX4M4A2666C16,8435910554756,DDR4-2666,32 GB,2666,16-18-18-35,4
Corsair Dominator Platinum Series 32GB,$166.83 USD,Corsair,CMD32GX4M2B3000C15,4053162983618,DDR4-3000,32 GB,3000,15-17-17-35,2
Corsair Dominator Platinum Series 32GB,$309.78 USD,Corsair,CMD32GX4M4C3000C15,843591088336,DDR4-3000,32 GB,3000,15-17-17-35,4
Corsair Dominator Platinum Series 32GB,$456.25 USD,Corsair,CMD32GX4M4B2400C10,843591084826,DDR4-2400,32 GB,2400,10-12-12-28,4
Corsair Dominator Platinum Series 32GB,$481.69 USD,Corsair,CMD32GX4M4B3333C16,843591083683,DDR4-3333,32 GB,3333,16-18-18-36,4
Corsair Dominator Platinum Series 32GB,$551.71 USD,Corsair,CMD32GX4M4B3866C18,843591097826,DDR4-3866,32 GB,3866,16-22-22-40,4
Corsair Dominator Platinum Series 32GB,$565.75 USD,Corsair,CMD32GX4M4B3733C17,843591097598,DDR4-3733,32 GB,3733,17-19-19-39,4
Corsair Dominator Platinum Series 32GB,$597.08 USD,Corsair,CMD32GX4M4E4000C19,843591030229,DDR4-4000,32 GB,4000,19-23-23-45,4
Corsair Dominator Platinum Series 64GB,$305.33 USD,Corsair,CMD64GX4M4A2666C15,843591071895,DDR4-2666,64 GB,2666,15-17-17-35,4
Corsair Dominator Platinum Series 64GB,$425.45 USD,Corsair,CMD64GX4M4C3200C16,843591084710,DDR4-3200,64 GB,3200,16-18-18-36,4
Corsair Dominator Platinum Series 64GB,$577.6 USD,Corsair,CMD64GX4M4C3000C15,843591089418,DDR4-3000,64 GB,3000,15-17-17-35,4
Corsair Dominator Platinum Series 64GB,$724.26 USD,Corsair,CMD64GX4M8A2800C16,843591055307,DDR4-2800,64 GB,2800,16-18-18-36,8
Corsair Dominator Platinum Series 64GB,$826.92 USD,Corsair,CMD64GX4M8B3200C16,843591085618,DDR4-3200,64 GB,3200,16-18-18-36,8
Corsair Dominator Platinum Series 64GB,$867.89 USD,Corsair,CMD64GX4M4B3466C16,843591087964,DDR4-3466,64 GB,3466,16-18-18-36,4
Corsair Dominator Platinum Series 64GB,$894.11 USD,Corsair,CMD64GX4M4B3333C16,843591084949,DDR4-3333,64 GB,3333,16-18-18-36,4
Corsair Dominator Platinum Series 64GB,$996.83 USD,Corsair,CMD64GX4M8A2666C15,4056572729623,DDR4-2666,64 GB,2666,15-17-17-35,8
"Corsair Dominator Platinum Series DDR4-2400, CL14 - 32 GB Quad Kit",$384.44 USD,Corsair,CMD32GX4M4A2400C14,843591055109,DDR4-2400,32 GB,2400,14-16-16-31,4
Corsair Dominator Platinum Series DDR4-2666,$96.9 USD,Corsair,CMD16GX4M2A2666C15,843591069571,DDR4-2666,16 GB,2666,15-17-17-35,2
Corsair Dominator Platinum Series DDR4-2666,$189.32 USD,Corsair,CMD32GX4M4A2666C15,843591055475,DDR4-2666,32 GB,2666,15-17-17-35,4
"Corsair Dominator Platinum Series DDR4-2666, CL16 - 16 GB Quad Kit",$110.97 USD,Corsair,CMD16GX4M4A2666C16,843591055628,DDR4-2666,16 GB,2666,16-18-18-35,4
"Corsair Dominator Platinum Series DDR4-3000, CL15 - 16 GB Quad Kit",$271.86 USD,Corsair,CMD16GX4M4B3000C15,843591055970,DDR4-3000,16 GB,3000,15-17-17-35,4
"Corsair Dominator Platinum Series DDR4-3200, CL16 - 16 GB Quad Kit",$119.11 USD,Corsair,CMD16GX4M4C3200C16,843591072762,DDR4-3200,16 GB,3200,16-18-18-36,4
Corsair Dominator Platinum Series — 16GB,$156.71 USD,Corsair,CMD16GX3M2A2400C11,843591048194,DDR3-2400,16 GB,2400,11-13-13-31,2
Corsair LED 32GB,$293.76 USD,Corsair,CMU32GX4M4C3200C16,843591090421,DDR4-3200,32 GB,3200,16-18-18-36,4
Corsair LED 32GB,$679.27 USD,Corsair,CMU64GX4M4A2666C16B,843591095952,DDR4-2666,64 GB,2666,16-18-18-35,4
Corsair Low Profile — 32GB Dual/Quad Channel DDR3 Memory Kit,$173.36 USD,Corsair,CML32GX3M4A1600C10,843591024389,DDR3-1600,32 GB,1600,10-10-10-27,4
Corsair Low Profile — 4GB Dual Channel DDR3 Memory Kit,$36.95 USD,Corsair,CML4GX3M2A1600C9,4054318037018,DDR3-1600,4 GB,1600,9-9-9-24,2
Corsair Low Profile — 8GB Dual Channel DDR3 Memory Kit,$60.65 USD,Corsair,CML8GX3M2A1600C9R,843591029766,DDR3-1600,8 GB,1600,9-9-9-24,2
Corsair LP 4GB,$47.43 USD,Corsair,CML4GX3M1C1600C9,4056572724383,DDR3L-1600,4 GB,1600,9-9-9-24,1
Corsair LP 8GB,$76.54 USD,Corsair,CML8GX3M1C1600C9,843591058582,DDR3L-1600,8 GB,1600,9-9-9-24,1
Corsair LPX 128GB,$467.86 USD,Corsair,CMK128GX4M8B3000C16,843591084307,DDR4-3000,128 GB,3000,16-18-18-36,8
Corsair LPX 16GB,$43.52 USD,Corsair,CMK16GX4M4B3200C16,4053162965775,DDR4-3200,16 GB,3200,16-18-18-36,4
Corsair LPX 16GB,$72.53 USD,Corsair,CMK16GX4M1B3000C15,843591084253,DDR4-3000,16 GB,3000,15-17-17-35,1
Corsair LPX 16GB,$76.88 USD,Corsair,CMK16GX4M2A2400C14,4053162934429,DDR4-2400,16 GB,2400,14-16-16-31,2
Corsair LPX 16GB,$94.29 USD,Corsair,CMK16GX4M4A2400C14,4053162575332,DDR4-2400,16 GB,2400,14-16-16-31,4
Corsair LPX 16GB,$109.32 USD,Corsair,CMK16GX4M1A2400C14,843591084246,DDR4-2400,16 GB,2400,14-16-16-31,1
Corsair LPX 16GB,$117.8 USD,Corsair,CMK16GX4M4A2666C16B,5054629447727,DDR4-2666,16 GB,2666,16-18-18-35,4
Corsair LPX 16GB,$129.83 USD,Corsair,CMK16GX4M2A2400C14R,3609920147559,DDR4-2400,16 GB,2400,14-16-16-31,2
Corsair LPX 16GB,$216.52 USD,Corsair,CMK16GX4M2E4000C19R,843591022989,DDR4-4000,16 GB,4000,19-23-23-45,2
Corsair LPX 16GB,$248.62 USD,Corsair,CMK16GX4M2B4266C19R,843591097833,DDR4-4266,16 GB,4266,19-26-26-46,2
Corsair LPX 16GB,$271.86 USD,Corsair,CMK16GX4M4B3200C15,8502201635361,DDR4-3200,16 GB,3200,15-17-17-35,4
Corsair LPX 32GB,$192.22 USD,Corsair,CMK32GX4M2A2400C14,4056572732272,DDR4-2400,32 GB,2400,14-16-16-31,2
Corsair LPX 32GB,$314.56 USD,Corsair,CMK32GX4M4B4000C19R,843591097758,DDR4-4000,32 GB,4000,19-23-23-45,4
Corsair LPX 32GB,$517.45 USD,Corsair,CMK32GX4M4B3866C18R,843591096454,DDR4-3866,32 GB,3866,18-22-22-40,4
Corsair Pro Series — 16GB,$109.6 USD,Corsair,CMY16GX3M2A1600C9A,843591043359,DDR3-1600,16 GB,1600,9-9-9-24,2
Corsair Pro Series — 16GB,$132.14 USD,Corsair,CMY16GX3M2B2133C11,4054318731862,DDR3-2133,16 GB,2133,11-12-12-27,2
Corsair Pro Series — 16GB,$145.28 USD,Corsair,CMY16GX3M2A2400C11R,5054484563815,DDR3-2400,16 GB,2400,11-13-13-31,2
Corsair Pro Series — 32GB,$181.34 USD,Corsair,CMY32GX3M4A1600C9,843591042222,DDR3-1600,32 GB,1600,9-9-9-24,4
Corsair Pro Series — 32GB,$188.59 USD,Corsair,CMY32GX3M4A1600C9R,843591042239,DDR3-1600,32 GB,1600,9-9-9-24,4
Corsair Pro Series — 32GB,$223.4 USD,Corsair,CMY32GX3M4A1600C9B,846830018781,DDR3-1600,32 GB,1600,9-9-9-24,4
Corsair Pro Series — 8GB,$49.32 USD,Corsair,CMY8GX3M2A1600C9,843591041959,DDR3-1600,8 GB,1600,9-9-9-24,2
Corsair Pro Series — 8GB,$59.21 USD,Corsair,CMY8GX3M2A1600C9A,4054843374091,DDR3-1600,8 GB,1600,9-9-9-24,2
Corsair Pro Series — 8GB,$63.81 USD,Corsair,CMY8GX3M2A1600C9B,13201073407,DDR3-1600,8 GB,1600,9-9-9-24,2
Corsair Pro Series — 8GB,$70.54 USD,Corsair,CMY8GX3M2A1600C9R,5054531412332,DDR3-1600,8 GB,1600,9-9-9-24,2
Corsair RGB 16GB,$111.7 USD,Corsair,CMR16GX4M2A2666C16,843591028431,DDR4-2666,16 GB,2666,16-18-18-35,2
Corsair RGB 16GB,$132.74 USD,Corsair,CMR16GX4M2C3000C15,8435910971928,DDR4-3000,16 GB,3000,15-17-17-35,2
Corsair RGB 32GB,$242.91 USD,Corsair,CMR32GX4M4A2666C16,843591028455,DDR4-2666,32 GB,2666,16-18-18-35,4
Corsair RGB 32GB,$244.44 USD,Corsair,CMR32GX4M4C3000C15,843591097239,DDR4-3000,32 GB,3000,15-17-17-35,4
Corsair RGB 32GB,$279.76 USD,Corsair,CMR32GX4M4C3200C16,843591097246,DDR4-3200,32 GB,3200,16-18-18-36,4
Corsair RGB 32GB,$354.92 USD,Corsair,CMR32GX4M4C3600C18,843591030236,DDR4-3600,32 GB,3600,18-19-19-39,4
Corsair RGB 32GB,$410.17 USD,Corsair,CMR32GX4M4C3333C16,843591030205,DDR4-3333,32 GB,3333,16-18-18-36,4
Corsair RGB 32GB,$438.42 USD,Corsair,CMR32GX4M4C3466C16,843591021340,DDR4-3466,32 GB,3466,16-18-18-36,4
Corsair RGB 64GB,$557.63 USD,Corsair,CMR64GX4M8A2666C16,843591027892,DDR4-2666,64 GB,2666,16-18-18-35,8
Corsair SO-Dimm Vengeance Series DDR4-3000,$76.16 USD,Corsair,CMSX16GX4M2A3000C16,843591094061,DDR4-3000,16 GB,3000,16-18-18-36,2
Corsair ValueSelect,$30.46 USD,Corsair,CMSO8GX4M1A2133C15,843591067379,DDR4-2133,8 GB,2133,15-15-15-36,1
Corsair ValueSelect,$67.85 USD,Corsair,CMSO16GX4M1A2133C15,843591068147,DDR4-2133,16 GB,2133,15-15-15-36,1
Corsair ValueSelect Series DDR4-2133,$25.0 USD,Corsair,CMV8GX4M1A2133C15,843591052955,DDR4-2133,8 GB,2133,15-15-15-36,1
Corsair Vengeance,$116.05 USD,Corsair,CMK32GX5M2B6400C36,840006666127,DDR5-6400,32 GB,6400,36-48-48-104,2
Corsair Vengeance,$126.93 USD,Corsair,CMK32GX5M2B6800C40,840006666387,DDR5-6800,32 GB,6800,40-50-50-110,2
Corsair Vengeance,$142.17 USD,Corsair,CMK32GX5M2X7000C34,840006600404,DDR5-7000,32 GB,7000,34-42-42-96,2
Corsair Vengeance,$151.59 USD,Corsair,CMK64GX5M2B5200C40,840006661245,DDR5-5200,64 GB,5200,40-40-40-77,2
Corsair Vengeance,$158.84 USD,Corsair,CMK48GX5M2B5200C38,840006665014,DDR5-5200,48 GB,5200,38-38-38-84,2
Corsair Vengeance,$163.2 USD,Corsair,CMK32GX5M2X7200C34,840006600411,DDR5-7200,32 GB,7200,34-44-96,2
Corsair Vengeance,$164.4 USD,Corsair,CMK48GX5M2B5600C40,840006665021,DDR5-5600,48 GB,5600,40-40-40-77,2
Corsair Vengeance,$184.47 USD,Corsair,CMK48GX5M2B7000C40,840006667124,DDR5-7000,48 GB,7000,40-52-52-114,2
Corsair Vengeance,$203.1 USD,Corsair,CMK64GX5M2B6400C32,840006661788,DDR5-6400,64 GB,6400,32-40-40-84,2
Corsair Vengeance,$213.25 USD,Corsair,CMK64GX5M2B6000Z40,840006601197,DDR5-6000,64 GB,6000,40-40-40-77,2
Corsair Vengeance,$227.75 USD,Corsair,CMK64GX5M2B6200C32,840006619062,DDR5-6200,64 GB,6200,32-38-38-80,2
Corsair Vengeance,$264.02 USD,Corsair,CMK64GX5M2B6600C32,840006664932,DDR5-6600,64 GB,6600,32-39-39-76,2
Corsair Vengeance,$293.77 USD,Corsair,CMK96GX5M2B5200C38,840006665038,DDR5-5200,96 GB,5200,38-38-38-84,2
Corsair Vengeance,$303.92 USD,Corsair,CMK96GX5M2B5600C40,840006665045,DDR5-5600,96 GB,5600,40-40-40-77,2
Corsair Vengeance,$652.1 USD,Corsair,CMK192GX5M4B5200C38,840006666752,DDR5-5200,192 GB,5200,38-38-38-84,4
Corsair Vengeance LED Series,$135.55 USD,Corsair,CMU16GX4M2A2666C16,843591090223,DDR4-2666,16 GB,2666,16-18-18-35,2
Corsair Vengeance LPX,$189.21 USD,Corsair,CMK16GX4M2D3200C16,843591097901,DDR4-3200,16 GB,3200,16-19-19-36,2
"Corsair Vengeance LPX red + AF, DDR4-3600, CL 16 - 32 GB Quad Kit",$491.4 USD,Corsair,CMK32GX4M4B3600C16R,843591087278,DDR4-3600,32 GB,3600,16-16-16-36,4
"Corsair Vengeance LPX red + AF, DDR4-3733, CL 17 - 16 GB Dual Kit",$229.94 USD,Corsair,CMK16GX4M2B3733C17R,843591089425,DDR4-3733,16 GB,3733,17-19-19-39,2
"Corsair Vengeance LPX red + AF, DDR4-3733, CL 17 - 32 GB Quad Kit",$508.24 USD,Corsair,CMK32GX4M4B3733C17R,843591088534,DDR4-3733,32 GB,3733,17-19-19-39,4
Corsair Vengeance LPX black,$38.44 USD,Corsair,CMK16GX4M2E3200C16,840006608530,DDR4-3200,16 GB,3200,16-18-18-36,2
Corsair Vengeance LPX black,$39.89 USD,Corsair,CMK16GX4M2D3600C18,840006612971,DDR4-3600,16 GB,3600,18-22-22-42,2
Corsair Vengeance LPX black,$47.14 USD,Corsair,CMK16GX4M2Z2400C16,843591025058,DDR4-2400,16 GB,2400,16-16-16-39,2
Corsair Vengeance LPX black,$50.77 USD,Corsair,CMK16GX4M2Z3600C18,843591082006,DDR4-3600,16 GB,3600,18-22-22-42,2
Corsair Vengeance LPX black,$75.42 USD,Corsair,CMK32GX4M2E3200C16,840006608547,DDR4-3200,32 GB,3200,16-20-20-38,2
Corsair Vengeance LPX black,$123.31 USD,Corsair,CMK64GX4M2E3200C16,840006619208,DDR4-3200,64 GB,3200,16-20-20-38,2
Corsair Vengeance LPX black,$138.87 USD,Corsair,CMK64GX4M2D3000C16,840006612902,DDR4-3000,64 GB,3000,16-20-20-38,2
Corsair Vengeance LPX black,$165.65 USD,Corsair,CMK64GX4M4E3200C16,840006623304,DDR4-3200,64 GB,3200,16-20-20-38,4
Corsair Vengeance LPX black,$402.58 USD,Corsair,CMK128GX4M4A2666C16,840006615903,DDR4-2666,128 GB,2666,16-18-18-35,4
Corsair Vengeance LPX black,$420.71 USD,Corsair,CMK64GX4M4B3200C16,843591070539,DDR4-3200,64 GB,3200,15-15-15-36,4
Corsair Vengeance LPX black + AF,$206.72 USD,Corsair,CMK32GX4M4B3600C18,843591084468,DDR4-3600,32 GB,3600,18-19-19-39,4
"Corsair Vengeance LPX black + AF, DDR4-3600, CL 18 - 16 GB Quad Kit",$266.21 USD,Corsair,CMK16GX4M4B3600C18,843591072885,DDR4-3600,16 GB,3600,18-19-19-39,4
"Corsair Vengeance LPX black + AF, DDR4-3600, CL 18 - 8 GB Dual Kit",$137.09 USD,Corsair,CMK8GX4M2B3600C18,843591070034,DDR4-3600,8 GB,3600,18-19-19-39,2
"Corsair Vengeance LPX black + AF, DDR4-3733, CL 17 - 16 GB Quad Kit",$261.13 USD,Corsair,CMK16GX4M4B3733C17,843591072861,DDR4-3733,16 GB,3733,17-19-19-39,4
Corsair Vengeance LPX Series blue DDR4-2666,$133.56 USD,Corsair,CMK32GX4M4A2666C16B,843591056533,DDR4-2666,32 GB,2666,16-18-18-35,4
Corsair Vengeance LPX Series red,$130.56 USD,Corsair,CMK32GX4M2B3000C15R,843591071215,DDR4-3000,32 GB,3000,15-17-17-35,2
"Corsair Vengeance LPX Series red DDR4-2400, CL14 - 16 GB Kit",$86.21 USD,Corsair,CMK16GX4M4A2400C14R,843591054928,DDR4-2400,16 GB,2400,14-16-16-31,4
Corsair Vengeance LPX Series red DDR4-2666,$133.81 USD,Corsair,CMK32GX4M4A2666C16R,843591056434,DDR4-2666,32 GB,2666,16-18-18-35,4
"Corsair Vengeance LPX Series red DDR4-2666, CL16 - 8 GB Kit",$42.22 USD,Corsair,CMK8GX4M2A2666C16R,843591069670,DDR4-2666,8 GB,2666,16-18-18-35,2
Corsair Vengeance LPX Series black,$39.89 USD,Corsair,CMK16GX4M1A2666C16,843591084260,DDR4-2666,16 GB,2666,15-15-15-36,1
Corsair Vengeance LPX Series black,$47.14 USD,Corsair,CMK16GX4M2B3000C15,843591070010,DDR4-3000,16 GB,3000,15-17-17-35,2
Corsair Vengeance LPX Series black,$49.92 USD,Corsair,CMK16GX4M2D3000C16,843591077552,DDR4-3000,16 GB,3000,16-18-18-36,2
Corsair Vengeance LPX Series black,$79.78 USD,Corsair,CMK32GX4M2A2666C16,843591069557,DDR4-2666,32 GB,2666,16-18-18-35,2
Corsair Vengeance LPX Series black,$187.6 USD,Corsair,CMK64GX4M2A2666C16,840006615965,DDR4-2666,64 GB,2666,16-18-18-35,2
Corsair Vengeance LPX Series black DDR4-2133,$39.89 USD,Corsair,CMK16GX4M2A2133C13,843591069656,DDR4-2133,16 GB,2133,13-15-15-28,2
Corsair Vengeance LPX Series black DDR4-2133,$76.16 USD,Corsair,CMK32GX4M2A2133C13,843591070621,DDR4-2133,32 GB,2133,13-15-15-28,2
Corsair Vengeance LPX Series black DDR4-2400,$39.89 USD,Corsair,CMK16GX4M2A2400C16,843591082549,DDR4-2400,16 GB,2400,16-16-16-39,2
Corsair Vengeance LPX Series black DDR4-2400,$40.35 USD,Corsair,CMK8GX4M2A2400C14,843591057523,DDR4-2400,8 GB,2400,14-16-16-31,2
Corsair Vengeance LPX Series black DDR4-2400,$425.8 USD,Corsair,CMK128GX4M8A2400C14,843591067416,DDR4-2400,128 GB,2400,14-16-16-31,8
Corsair Vengeance LPX Series black DDR4-2666,$50.77 USD,Corsair,CMK16GX4M2A2666C16,843591069618,DDR4-2666,16 GB,2666,16-18-18-35,2
Corsair Vengeance LPX Series black DDR4-2666,$52.95 USD,Corsair,CMK8GX4M2A2666C16,843591069540,DDR4-2666,8 GB,2666,16-18-18-35,2
Corsair Vengeance LPX Series black DDR4-2666,$84.11 USD,Corsair,CMK16GX4M4A2666C16,843591055635,DDR4-2666,16 GB,2666,16-18-18-35,4
Corsair Vengeance LPX Series black DDR4-2666,$119.68 USD,Corsair,CMK32GX4M4A2666C16,843591055642,DDR4-2666,32 GB,2666,16-18-18-35,4
Corsair Vengeance LPX Series black DDR4-3000,$50.96 USD,Corsair,CMK8GX4M2C3000C16,843591074735,DDR4-3000,8 GB,3000,16-18-18-36,2
Corsair Vengeance LPX Series black DDR4-3000,$141.44 USD,Corsair,CMK32GX4M2B3000C15,843591071222,DDR4-3000,32 GB,3000,15-17-17-35,2
"Corsair Vengeance LPX Series black DDR4-3200, CL16 - 16 GB Kit",$200.8 USD,Corsair,CMK16GX4M4C3200C16,843591072694,DDR4-3200,16 GB,3200,16-18-18-36,4
Corsair Vengeance LPX Series white,$56.64 USD,Corsair,CMK16GX4M2A2666C16W,843591088367,DDR4-2666,16 GB,2666,16-18-18-35,2
Corsair Vengeance LPX Series white,$70.35 USD,Corsair,CMK16GX4M2D3000C16W,843591077903,DDR4-3000,16 GB,3000,16-18-18-36,2
Corsair Vengeance LPX Series white,$95.85 USD,Corsair,CMK16GX4M2B3000C15W,843591088374,DDR4-3000,16 GB,3000,15-17-17-35,2
Corsair Vengeance LPX Series white,$130.56 USD,Corsair,CMK32GX4M2B3000C15W,843591088404,DDR4-3000,32 GB,3000,15-17-17-35,2
Corsair Vengeance LPX Series white,$170.46 USD,Corsair,CMK32GX4M2A2666C16W,843591088398,DDR4-2666,32 GB,2666,16-18-18-35,2
Corsair Vengeance LPX Series white,$305.91 USD,Corsair,CMK64GX4M4A2666C16W,843591088435,DDR4-2666,64 GB,2666,16-18-18-35,4
Corsair Vengeance RGB,$130.56 USD,Corsair,CMH32GX5M2B6400C36,840006666073,DDR5-6400,32 GB,6400,36-48-48-104,2
Corsair Vengeance RGB,$137.81 USD,Corsair,CMH32GX5M2B6800C40,840006666370,DDR5-6800,32 GB,6800,40-50-50-110,2
Corsair Vengeance RGB,$148.69 USD,Corsair,CMH48GX5M2B5200C38,840006664970,DDR5-5200,48 GB,5200,38-38-38-84,2
Corsair Vengeance RGB,$155.95 USD,Corsair,CMH48GX5M2B5600C40,840006664987,DDR5-5600,48 GB,5600,40-40-40-77,2
Corsair Vengeance RGB,$163.2 USD,Corsair,CMH32GX5M2X7000C34,840006600732,DDR5-7000,32 GB,7000,34-42-42-96,2
Corsair Vengeance RGB,$166.83 USD,Corsair,CMH32GX5M2X7200C34,840006601159,DDR5-7200,32 GB,7200,34-44-96,2
Corsair Vengeance RGB,$217.61 USD,Corsair,CMH48GX5M2B7000C40,840006667094,DDR5-7000,48 GB,7000,40-52-52-114,2
Corsair Vengeance RGB,$239.37 USD,Corsair,CMH64GX5M2B6000Z40,840006601173,DDR5-6000,64 GB,6000,40-40-40-77,2
Corsair Vengeance RGB,$282.89 USD,Corsair,CMH64GX5M4B6200C32,840006665427,DDR5-6200,64 GB,6200,32-38-38-80,4
Corsair Vengeance RGB,$296.66 USD,Corsair,CMH64GX5M4B6400C32,840006665434,DDR5-6400,64 GB,6400,32-40-40-84,4
Corsair Vengeance RGB,$311.17 USD,Corsair,CMH64GX5M4B6600C32,840006665441,DDR5-6600,64 GB,6600,32-39-39-76,4
Corsair Vengeance RGB,$314.8 USD,Corsair,CMH96GX5M2B5600C40,840006665007,DDR5-5600,96 GB,5600,40-40-40-77,2
Corsair Vengeance RGB,$316.74 USD,Corsair,CMH96GX5M2B5200C38,840006664994,DDR5-5200,96 GB,5200,38-38-38-84,2
Corsair Vengeance RGB,$613.08 USD,Corsair,CMH192GX5M4B5200C38,840006667087,DDR5-5200,192 GB,5200,38-38-38-84,4
Corsair Vengeance RGB Pro black,$65.28 USD,Corsair,CMW16GX4M2Z3600C18,840006615682,DDR4-3600,16 GB,3600,18-22-22-42,2
Corsair Vengeance RGB Pro black,$79.78 USD,Corsair,CMW32GX4M2E3200C16,840006613251,DDR4-3200,32 GB,3200,15-15-15-36,2
Corsair Vengeance RGB Pro black,$119.68 USD,Corsair,CMW32GX4M2D3000C16,840006604259,DDR4-3000,32 GB,3000,16-18-18-36,2
Corsair Vengeance RGB Pro black,$155.95 USD,Corsair,CMW64GX4M2D3600C18,840006620785,DDR4-3600,64 GB,3600,18-22-22-42,2
Corsair Vengeance RGB Pro black,$158.84 USD,Corsair,CMW64GX4M2E3200C16,840006620136,DDR4-3200,64 GB,3200,15-15-15-36,2
Corsair Vengeance RGB Pro Series black,$10.84 USD,Corsair,SIBU-084,0,DDR4-3200,16 GB,3200,16-18-18-36,2
Corsair Vengeance RGB Pro Series black,$61.65 USD,Corsair,CMW16GX4M2A2666C16,843591078580,DDR4-2666,16 GB,2666,16-18-18-35,2
Corsair Vengeance RGB Pro Series black,$72.53 USD,Corsair,CMW16GX4M2C3000C15,843591076944,DDR4-3000,16 GB,3000,15-17-17-35,2
Corsair Vengeance RGB Pro Series black,$87.04 USD,Corsair,CMW32GX4M2A2666C16,843591082068,DDR4-2666,32 GB,2666,16-18-18-35,2
Corsair Vengeance RGB Pro Series black,$87.76 USD,Corsair,CMW16GX4M2Z2933C16,843591019019,DDR4-2933,16 GB,2933,16-18-18-36,2
Corsair Vengeance RGB Pro Series black,$97.92 USD,Corsair,CMW32GX4M2Z2933C16,840006605430,DDR4-2933,32 GB,2933,16-18-18-36,2
Corsair Vengeance RGB Pro Series black,$112.43 USD,Corsair,CMW16GX4M2K4000C19,843591078733,DDR4-4000,16 GB,4000,19-23-23-45,2
Corsair Vengeance RGB Pro Series black,$123.31 USD,Corsair,CMW32GX4M4C3200C16,843591076852,DDR4-3200,32 GB,3200,16-18-18-36,4
Corsair Vengeance RGB Pro Series black,$130.56 USD,Corsair,CMW32GX4M4C3600C18,843591076975,DDR4-3600,32 GB,3600,19-19-19-39,4
