Nombre,Precio,Proveedor,MPN,EAN,Socket,Chipset,Desbloqueado,Formato,Tipo_Memoria,Capacidad de memoria,Ranuras de RAM,SATA,VGA,DVI,Puerto Display,HDMI,WiFi
ASRock Z390 Phantom Gaming 4,$148.75 USD,ASRock,90-MXB8X0-A0UAYZ,4717677336924,1151,Z390,False,ATX,DDR4,64 GB,4,4,0,0.0,0.0,1.0,False
ASRock Z390 Phantom Gaming-ITX/AC,$208.47 USD,ASRock,90-MXB8L0-A0UAYZ,4717677336832,1151,Z390,False,Mini-ITX,DDR4,64 GB,2,4,0,0.0,1.0,1.0,False
ASRock Z390 Pro 4,$116.05 USD,ASRock,90-MXB6T0-A0UAYZ,4717677336733,1151,Z390,False,ATX,DDR4,64 GB,4,4,0,0.0,0.0,1.0,False
ASRock Z390 Taichi Ultimate,$300.36 USD,ASRock,90-MXB8G0-A0UAYZ,4717677336757,1151,Z390,False,ATX,DDR4,64 GB,4,4,0,0.0,0.0,1.0,False
ASRock Z390M-ITX/AC,$135.62 USD,ASRock,90-MXB6Q0-A0UAYZ,4717677336795,1151,Z390,False,Mini-ITX,DDR4,64 GB,2,4,0,0.0,1.0,2.0,False
ASRock Z490 Taichi,$365.71 USD,ASRock,90-MXBBQ0-A0UAYZ,4710483931185,1200,Z490,True,ATX,DDR4,128 GB,4,8,0,0.0,0.0,0.0,False
ASRock Z490M Pro4,$178.82 USD,ASRock,90-MXBBV0-A0UAYZ,4710483930713,1200,Z490,True,ATX,DDR4,128 GB,4,4,0,0.0,0.0,0.0,False
ASRock Z490M-ITX/ac,$155.32 USD,ASRock,90-MXBC00-A0UAYZ,4710483931147,1200,Z490,True,Mini-ITX,DDR4,64 GB,2,4,0,0.0,0.0,0.0,False
ASUS H110M-K,$63.43 USD,ASUS,90MB0PH0-M0EAY0,4712900263374,1151,H110,False,Micro-ATX,DDR4,32 GB,2,4,0,0.0,0.0,0.0,False
Asus H170 PRO GAMING,$129.35 USD,Asus,H170 PRO GAMING,5283566775086,1151,H170,False,ATX,DDR4,64 GB,4,4,1,1.0,1.0,1.0,False
ASUS H81M-Plus,$61.22 USD,ASUS,90MB0GI0-M0EAY0,4716659550242,1150,H81,False,Micro-ATX,DDR3,16 GB,2,2,0,0.0,0.0,0.0,False
ASUS Maximus X HERO + ASUS ROG Magnetic Addressable-RGB-LED-Strip,$10.84 USD,King Kits,MBBU-330,0,1151,Z370,True,ATX,DDR4,64 GB,4,6,0,0.0,0.0,0.0,False
ASUS PRIME A320M-K,$49.96 USD,ASUS,90MB0TV0-M0EAY0,4712900672060,AM4,A320,False,Micro-ATX,DDR4,32 GB,2,4,0,0.0,0.0,0.0,False
ASUS PRIME B250-PLUS,$118.76 USD,ASUS,90MB0SJ0-M0EAY0,4712900598070,1151,B250,False,ATX,DDR4,64 GB,4,6,0,0.0,0.0,0.0,False
ASUS PRIME B350M-A,$89.87 USD,ASUS,90MB0TE0-M0EAY0,4712900673586,AM4,B350,True,Micro-ATX,DDR4,64 GB,4,6,0,0.0,0.0,0.0,False
ASUS PRIME H310M-E R2.0,$42.7 USD,ASUS,90MB0Z20-M0EAY0,4718017030601,1151,H310,False,Micro-ATX,DDR4,64 GB,2,4,0,0.0,0.0,1.0,False
ASUS PRIME H370-A,$108.8 USD,ASUS,90MB0XN0-M0EAY0,4712900960129,1151,H370,False,ATX,DDR4,64 GB,4,6,0,0.0,0.0,0.0,False
"ASUS Prime X570-P, AMD X570",$175.53 USD,ASUS,90MB11N0-M0EAY0,4718017263818,AM4,X570,True,ATX,DDR4,128 GB,4,6,0,0.0,0.0,0.0,False
ASUS PRIME Z390-P,$132.74 USD,ASUS,90MB0XX0-M0EAY0,4718017128490,1151,Z390,False,ATX,DDR4,64 GB,4,4,0,0.0,0.0,0.0,False
ASUS PRIME Z690-A,$225.35 USD,ASUS,90MB18L0-M0EAY0,4711081447320,1700,Z690,True,ATX,DDR5,128 GB,4,4,0,0.0,1.0,1.0,False
ASUS Prime Z790-P WiFi,$210.35 USD,ASUS,90MB1CJ0-M0EAY0,4711081937227,1700,Z790,False,ATX,DDR5,128 GB,4,4,0,0.0,1.0,1.0,True
ASUS ProART Z490-CREATOR 10G,$335.81 USD,ASUS,90MB14E0-M0EAY0,4718017606554,1200,Z490,True,ATX,DDR4,128 GB,4,6,0,0.0,0.0,1.0,False
"ASUS ROG Crosshair VIII Formula, AMD X570",$536.04 USD,ASUS,90MB10Z0-M0EAY0,4718017386647,AM4,X570,True,ATX,DDR4,128 GB,4,8,0,0.0,0.0,0.0,False
"ASUS ROG Crosshair VIII Hero, AMD X570",$362.68 USD,ASUS,90MB1100-M0EAY0,4718017393751,AM4,X570,True,ATX,DDR4,128 GB,4,8,0,0.0,0.0,0.0,False
ASUS ROG Crosshair X670E Gene,$587.55 USD,ASUS,90MB1B80-M0EAY0,4711081894537,AM5,X670E,False,Micro-ATX,DDR5,64 GB,2,4,0,0.0,1.0,0.0,True
ASUS ROG Crosshair X670E Hero,$645.58 USD,ASUS,90MB1BC0-M0EAY0,4711081862420,AM5,X670E,False,ATX,DDR5,128 GB,4,6,0,0.0,1.0,0.0,True
ASUS ROG MAXIMUS X HERO Wi-Fi,$253.87 USD,ASUS,90MB0W20-M0EAY0,4712900864113,1151,Z370,True,ATX,DDR4,64 GB,4,6,0,0.0,0.0,0.0,False
ASUS ROG Maximus XI FORMULA,$440.14 USD,ASUS,90MB0XU0-M0EAY0,4718017131285,1151,Z390,False,ATX,DDR4,64 GB,4,6,0,0.0,0.0,0.0,False
ASUS ROG Maximus XI GENE,$429.38 USD,ASUS,90MB10E0-M0EAY0,4718017141437,1151,Z390,False,Micro-ATX,DDR4,64 GB,2,4,0,0.0,0.0,0.0,False
ASUS ROG Maximus XI HERO,$256.2 USD,ASUS,90MB0XS0-M0EAY0,4718017127707,1151,Z390,False,ATX,DDR4,64 GB,4,6,0,0.0,0.0,0.0,False
ASUS ROG Maximus XI HERO Wi-Fi,$290.14 USD,ASUS,90MB0XR0-M0EAY0,4718017124133,1151,Z390,False,ATX,DDR4,64 GB,4,4,0,0.0,0.0,0.0,False
ASUS ROG MAXIMUS Z690 EXTREME,$1077.18 USD,ASUS,90MB18H0-M0EAY0,4711081462743,1700,Z690,True,E-ATX,DDR5,128 GB,4,6,0,0.0,0.0,1.0,True
ASUS ROG MAXIMUS Z690 FORMULA,$659.35 USD,ASUS,90MB18G0-M0EAY0,4711081483182,1700,Z690,True,ATX,DDR5,128 GB,4,6,0,0.0,0.0,1.0,True
ASUS ROG Rampage VI Extreme OMEGA,$843.01 USD,ASUS,90MB0ZJ0-M0EAY0,4718017225656,2066,X299,True,E-ATX,DDR4,128 GB,8,6,0,0.0,0.0,0.0,False
"ASUS ROG Strix B450-F Gaming, AMD B450",$126.93 USD,ASUS,90MB0YS0-M0EAY0,4718017080279,AM4,B450,True,ATX,DDR4,64 GB,4,6,0,0.0,1.0,1.0,False
"ASUS ROG Strix B450-I Gaming, AMD B450",$204.44 USD,ASUS,90MB0Z50-M0EAY0,4718017081115,AM4,B450,True,Mini-ITX,DDR4,32 GB,2,4,0,0.0,0.0,0.0,False
ASUS ROG Strix X299-E Gaming,$316.51 USD,ASUS,90MB0U50-M0EAY0,4712900773095,2066,X299,True,ATX,DDR4,128 GB,8,8,0,0.0,0.0,0.0,False
"ASUS ROG Strix X570-F Gaming, AMD X570",$291.59 USD,ASUS,90MB1160-M0EAY0,4718017378956,AM4,X570,True,ATX,DDR4,128 GB,4,8,0,0.0,0.0,0.0,False
ASUS ROG Strix Z390-E Gaming,$253.87 USD,ASUS,90MB0YF0-M0EAY1,4718017122832,1151,Z390,False,ATX,DDR4,64 GB,4,4,0,0.0,1.0,1.0,False
ASUS ROG Strix Z390-F Gaming,$215.73 USD,ASUS,90MB0YG0-M0EAY0,4718017051767,1151,Z390,False,ATX,DDR4,64 GB,4,4,0,0.0,1.0,1.0,False
ASUS ROG Strix Z390-H Gaming,$195.81 USD,ASUS,90MB0YU0-M0EAY0,4718017122429,1151,Z390,False,ATX,DDR4,64 GB,4,4,0,0.0,1.0,1.0,False
ASUS ROG Strix Z390-I Gaming,$232.29 USD,ASUS,90MB0YB0-M0EAY0,4718017052412,1151,Z390,False,ATX,DDR4,64 GB,4,4,0,0.0,1.0,1.0,False
ASUS ROG Strix Z490-F Gaming,$338.91 USD,ASUS,90MB12Q0-M0EAY0,4718017674300,1200,Z490,True,ATX,DDR4,128 GB,4,6,0,0.0,0.0,0.0,False
ASUS ROG Strix Z490-H Gaming,$229.78 USD,ASUS,90MB12S0-M0EAY0,4718017674287,1200,Z490,True,ATX,DDR4,128 GB,4,6,0,0.0,0.0,0.0,False
"ASUS TUF B450M-Plus Gaming, AMD B450",$86.31 USD,ASUS,90MB0YQ0-M0EAY0,4718017020428,AM4,B450,True,Micro-ATX,DDR4,64 GB,4,6,0,0.0,0.0,1.0,False
"ASUS TUF Gaming X570-Plus (WI-FI), AMD X570",$536.05 USD,ASUS,90MB1170-M0EAY0,4718017388498,AM4,X570,True,ATX,DDR4,128 GB,4,8,0,0.0,1.0,1.0,False
ASUS TUF Z370-PLUS Gaming,$349.51 USD,ASUS,90MB0VF0-M0EAY0,4712900848960,1151,Z370,True,ATX,DDR4,64 GB,4,6,0,0.0,0.0,0.0,False
ASUS TUF Z390-PRO Gaming,$177.6 USD,ASUS,90MB0YA0-M0EAY0,4718017125550,1151,Z390,False,ATX,DDR4,64 GB,4,4,0,0.0,0.0,1.0,False
ASUS WS X299 SAGE/10G,$677.79 USD,ASUS,90SW00H0-M0EAY0,4712900952001,2066,X299,True,CEB,DDR4,128 GB,8,8,0,0.0,0.0,0.0,False
ASUS X99-E WS USB 3.1,$518.63 USD,ASUS,90SB05D0-M0EAY0,4712900074536,2011-V3,X99,False,"XL-ATX, CEB",DDR4,128 GB,8,12,0,0.0,0.0,0.0,False
ASUS Z170-A,$152.56 USD,ASUS,90MB0LS0-M0EAY0,4712900113839,1151,Z170,True,ATX,DDR4,64 GB,4,6,0,0.0,0.0,0.0,False
EVGA X299 Dark,$456.98 USD,EVGA,151-SX-E299-KR,4250812421418,2066,X299,True,ATX,DDR4,64 GB,4,8,MPN,0.0,0.0,0.0,False
EVGA X299 FTW-K,$171.51 USD,EVGA,142-SX-E297-KR,4250812421401,2066,X299,True,E-ATX,DDR4,128 GB,8,8,MPN,0.0,0.0,0.0,False
EVGA X299 Micro,$269.26 USD,EVGA,131-SX-E295-KR,4250812421395,2066,X299,True,Micro-ATX,DDR4,64 GB,4,6,MPN,0.0,0.0,0.0,False
EVGA Z370 Classified K,$222.86 USD,EVGA,134-KS-E379-KR,4250812422576,1151,Z370,True,ATX,DDR4,64 GB,4,4,MPN,0.0,0.0,0.0,False
EVGA Z370 FTW,$189.83 USD,EVGA,134-KS-E377-KR,4250812421623,1151,Z370,True,ATX,DDR4,64 GB,4,6,MPN,0.0,0.0,0.0,False
EVGA Z370 Micro ATX,$139.58 USD,EVGA,121-KS-E375-KR,4250812421708,1151,Z370,True,Micro-ATX,DDR4,32 GB,2,6,MPN,0.0,0.0,0.0,False
Gigabyte 970A-DS3P,$74.63 USD,Gigabyte,GA-970A-DS3P,4719331814229,AM3+,970,False,ATX,DDR3,32 GB,4,6,0,0.0,0.0,0.0,False
Gigabyte 970A-DS3P FX,$74.63 USD,Gigabyte,GA-970A-DS3P FX,4719331802233,AM3+,990FX,False,ATX,DDR3,32 GB,4,6,0,0.0,0.0,0.0,False
Gigabyte A320M-S2H,$65.28 USD,Gigabyte,GA-A320M-S2H,4719331802530,AM4,A320,False,Micro-ATX,DDR4,32 GB,2,4,0,0.0,0.0,0.0,False
Gigabyte A520I AC,$71.72 USD,Gigabyte,A520I AC,4719331809867,AM4,A520,False,Mini-ITX,DDR4,64 GB,2,4,0,0.0,1.0,2.0,True
"Gigabyte AB350-Gaming 3, AMD B350",$154.58 USD,Gigabyte,GA-AB350-Gaming 3,4719331801281,AM4,B350,True,ATX,DDR4,64 GB,4,6,0,0.0,0.0,0.0,False
"Gigabyte AB350-Gaming, AMD B350",$115.65 USD,Gigabyte,GA-AB350-Gaming,4719331801366,AM4,B350,True,ATX,DDR4,64 GB,4,6,0,0.0,0.0,0.0,False
"Gigabyte AB350M Gaming 3, AMD B350-",$97.98 USD,Gigabyte,GA-AB350M-Gaming 3,4719331801373,AM4,B350,True,Micro-ATX,DDR4,64 GB,4,6,0,0.0,0.0,0.0,False
Gigabyte Aorus X299 Ultra Gaming Pro,$293.77 USD,Gigabyte,X299 AORUS ULTRA GAMING PRO,4719331801984,2066,X299,True,ATX,DDR4,128 GB,8,6,0,0.0,0.0,0.0,False
Gigabyte Aorus X299-Gaming 7,$413.46 USD,Gigabyte,X299 AORUS Gaming 7,4719331801748,2066,X299,True,ATX,DDR4,128 GB,8,8,0,0.0,0.0,0.0,False
Gigabyte Aorus X299-Gaming 9,$413.46 USD,Gigabyte,X299 AORUS Gaming 9,4719331801670,2066,X299,True,ATX,DDR4,128 GB,8,8,0,0.0,0.0,0.0,False
Gigabyte Aorus X299-Ultra Gaming,$401.5 USD,Gigabyte,X299 AORUS Ultra Gaming,4719331801762,2066,X299,True,ATX,DDR4,128 GB,8,8,0,0.0,0.0,0.0,False
Gigabyte Aorus Z270X-Gaming K5,$202.36 USD,Gigabyte,GA-Z270X-Gaming K5,4719331846398,1151,Z270,True,ATX,DDR4,64 GB,4,6,0,0.0,0.0,0.0,False
"Gigabyte AX370-Gaming 3, AMD X370",$107.19 USD,Gigabyte,AX370-GAMING 3,4719331802745,AM4,X370,True,ATX,DDR4,64 GB,4,6,0,0.0,0.0,1.0,False
"Gigabyte AX370-Gaming 5, AMD X370",$160.76 USD,Gigabyte,GA-AX370-Gaming 5,4719331801267,AM4,X370,True,ATX,DDR4,64 GB,4,4,0,0.0,0.0,0.0,False
"Gigabyte AX370-Gaming K3, AMD X370",$111.08 USD,Gigabyte,GA-AX370-Gaming K3,4719331801359,AM4,X370,True,ATX,DDR4,64 GB,4,8,0,0.0,0.0,0.0,False
"Gigabyte AX370-Gaming K5, AMD X370-",$142.6 USD,Gigabyte,GA-AX370-Gaming K5,4719331801342,AM4,X370,True,ATX,DDR4,64 GB,4,8,0,0.0,0.0,0.0,False
"Gigabyte AX370-Gaming K7, AMD X370",$231.09 USD,Gigabyte,GA-AX370-Gaming K7,4719331801335,AM4,X370,True,ATX,DDR4,64 GB,4,8,0,0.0,0.0,0.0,False
Gigabyte B150M-D3H,$91.39 USD,Gigabyte,GA-B150M-D3H,4719331830243,1151,B150,False,Micro-ATX,DDR4,64 GB,4,6,1,1.0,0.0,1.0,False
Gigabyte B250-FinTech 11+1 BTC Edition,$98.29 USD,Gigabyte,GA-B250-FINTECH,889523012437,1151,B250,False,ATX,DDR4,64 GB,4,6,0,0.0,0.0,0.0,False
Gigabyte B250M-D3H,$90.1 USD,Gigabyte,GA-B250M-D3H,4719331847241,1151,B250,False,Micro-ATX,DDR4,64 GB,4,6,0,0.0,0.0,0.0,False
Gigabyte B360 Aorus Gaming 3 WIFI,$120.72 USD,Gigabyte,B360 Aorus Gaming 3 WIFI,4719331802868,1151,B360,False,ATX,DDR4,64 GB,4,6,0,0.0,0.0,1.0,False
Gigabyte B360N WIFI,$340.71 USD,Gigabyte,B360N WIFI,4719331803360,1151,B360,False,Mini-ITX,DDR4,32 GB,2,4,0,0.0,0.0,2.0,False
"Gigabyte B450 Aorus Elite, AMD B450",$110.49 USD,Gigabyte,B450 Aorus Elite,4719331803995,AM4,B450,True,ATX,DDR4,64 GB,4,6,0,0.0,0.0,1.0,False
"Gigabyte B450 I Aorus Pro WiFi, AMD B450",$108.8 USD,Gigabyte,B450 I Aorus Pro WiFi,4719331803988,AM4,B450,True,Mini-ITX,DDR4,32 GB,2,4,0,0.0,0.0,2.0,False
Gigabyte B450M DS3H V2,$127.22 USD,Gigabyte,B450M DS3H V2,4719331810719,AM4,B450,True,Micro-ATX,DDR4,128 GB,4,4,0,1.0,0.0,1.0,False
"Gigabyte B450M DS3H, AMD B450",$57.21 USD,Gigabyte,B450M DS3H,4719331803827,AM4,B450,True,Micro-ATX,DDR4,64 GB,4,4,0,0.0,0.0,1.0,False
Gigabyte B550 Aorus Elite AX V2,$144.34 USD,Gigabyte,B550 AORUS ELITE AX V2,4719331809904,AM4,B550,False,ATX,DDR4,128 GB,4,4,0,0.0,1.0,1.0,True
Gigabyte B550 Gaming X V2 Rev 1.1,$100.81 USD,Gigabyte,B550 GAMING X V2 1.1,4719331810702,AM4,B550,False,ATX,DDR4,128 GB,4,4,0,1.0,0.0,1.0,False
Gigabyte B550M Aorus Pro P,$129.83 USD,Gigabyte,B550M AORUS PRO-P,4719331810672,AM4,B550,False,Micro-ATX,DDR4,128 GB,4,4,0,0.0,1.0,1.0,False
Gigabyte B550M DS3H,$138.56 USD,Gigabyte,B550M DS3H,4719331809416,AM4,B550,False,Micro-ATX,DDR4,128 GB,2,4,0,1.0,0.0,1.0,False
Gigabyte B560M DS3H V2,$114.73 USD,Gigabyte,B560M DS3H V2,4719331823719,1200,B560,False,Micro-ATX,DDR4,128 GB,4,6,0,1.0,1.0,1.0,False
GIGABYTE B650M AORUS Elite AX (rev. 1.0),$181.34 USD,Gigabyte,B650M AORUS ELITE AX,4719331849399,AM5,B650,False,Micro-ATX,DDR5,128 GB,4,4,0,0.0,1.0,1.0,True
Gigabyte B660 A Master DDR4,$172.63 USD,Gigabyte,B660 A Master DDR4,4719331829988,1700,B660,False,ATX,DDR4,128 GB,4,4,0,0.0,1.0,1.0,True
Gigabyte B660 Gaming X AX DDR4,$208.18 USD,Gigabyte,B660 Gaming X AX DDR4,4719331835880,1700,B660,False,ATX,DDR4,128 GB,4,4,0,0.0,1.0,1.0,True
