Nombre,Precio,Proveedor,MPN,EAN,Formato,Protocolo,Tamaño,NAND,Controlador
Corsair MP600 Core 1000 GB,$115.32 USD,Corsair,CSSD-F1000GBMP600COR,840006635246,M.2,NVM,1000 GB,TLC,Phison PS5016-E16
Corsair MP600 Core 2000 GB,$237.28 USD,Corsair,CSSD-F2000GBMP600COR,840006635253,M.2,NVM,2000 GB,TLC,Phison PS5016-E16
Corsair MP600 Core 4000 GB,$525.89 USD,Corsair,CSSD-F4000GBMP600COR,840006635260,M.2,NVM,4000 GB,QLC,Phison PS5016-E16
Corsair MP600 GS 1000 GB,$74.5 USD,Corsair,CSSD-F1000GBMP600GS,840006697190,M.2,NVM,1000 GB,3D TLC,Phison PS2021-E21T
Corsair MP600 GS 2000 GB,$179.35 USD,Corsair,CSSD-F2000GBMP600GS,840006697213,M.2,NVM,2000 GB,3D TLC,Phison PS2021-E21T
Corsair MP600 GS 500 GB,$43.52 USD,Corsair,CSSD-F0500GBMP600GS,840006697176,M.2,NVM,500 GB,3D TLC,Phison PS2021-E21T
Corsair MP600 Pro Hydro X Edition 2000 GB,$394.6 USD,Corsair,CSSD-F2000GBMP600HXE,840006637332,M.2,NVM,2000 GB,TLC,"Phison PS5018-E18, 8 Kanäle"
Corsair MP600 Pro LPX 1000 GB,$72.53 USD,Corsair,CSSD-F1000GBMP600PLP,840006657781,M.2,NVM,1000 GB,TLC,"Phison PS5018-E18, 8 Kanäle"
Corsair MP600 Pro LPX 2000 GB,$141.44 USD,Corsair,CSSD-F2000GBMP600PLP,840006657798,M.2,NVM,2000 GB,TLC,"Phison PS5018-E18, 8 Kanäle"
Corsair MP600 Pro LPX 4000 GB,$275.64 USD,Corsair,CSSD-F4000GBMP600PLP,840006657804,M.2,NVM,4000 GB,TLC,"Phison PS5018-E18, 8 Kanäle"
Corsair MP600 Pro LPX 500 GB,$50.77 USD,Corsair,CSSD-F0500GBMP600PLP,840006657774,M.2,NVM,500 GB,TLC,"Phison PS5018-E18, 8 Kanäle"
Corsair MP600 Pro NH 1000 GB,$76.16 USD,Corsair,CSSD-F1000GBMP600PNH,840006697206,M.2,NVM,1000 GB,3D TLC,Phison PS2018-E18
Corsair MP600 Pro NH 4000 GB,$855.94 USD,Corsair,CSSD-F4000GBMP600PNH,840006697237,M.2,NVM,4000 GB,3D TLC,Phison PS2018-E18
Corsair MP600 Pro XT 1000 GB,$72.53 USD,Corsair,CSSD-F1000GBMP600PXT,840006645085,M.2,NVM,1000 GB,TLC,Phison PS5018-E18
Corsair MP600 Pro XT 2000 GB,$126.93 USD,Corsair,CSSD-F2000GBMP600PXT,840006645092,M.2,NVM,2000 GB,TLC,Phison PS5018-E18
Corsair MP600 Pro XT 4000 GB,$512.29 USD,Corsair,CSSD-F4000GBMP600PXT,840006645108,M.2,NVM,4000 GB,TLC,Phison PS5018-E18
Corsair MP600 R2 1000 GB,$68.9 USD,Corsair,CSSD-F1000GBMP600R2,840006656753,M.2,NVM,1000 GB,3D TLC,Phisons PS5016-E16
